epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17.9251,1.85074,8.47569,2.10268,0,0,0,0,1.77558,33.9457,2.38861,8.335e-05,8.335e-05,8.335e-05
2,23.9286,1.52924,7.27734,1.76297,0.26668,0.25,0.12561,0.10009,0.94928,23.1804,1.20055,0.000179739,0.000179739,0.000179739
3,27.6885,1.36022,3.49075,1.43703,0.748,0.744,0.79361,0.52737,1.03505,15.6404,1.25603,0.000272168,0.000272168,0.000272168
4,31.0015,1.22205,2.46354,1.29909,0.79641,0.98204,0.895,0.76507,0.69706,19.5375,1.00159,0.000360635,0.000360635,0.000360635
5,34.047,1.17832,2.2028,1.27141,1,0.94651,0.995,0.76792,0.83467,16.9392,1.03356,0.000445142,0.000445142,0.000445142
6,37.2211,1.27807,1.75497,1.25957,1,0.7354,0.88786,0.63401,1.02438,18.6815,1.08958,0.000525688,0.000525688,0.000525688
7,40.0525,1.20466,1.54947,1.28141,0.97983,0.5,0.50493,0.40394,0.92497,14.2821,1.04867,0.000602274,0.000602274,0.000602274
8,42.8697,1.16077,1.38913,1.23912,1,0.74758,0.85611,0.61986,1.16024,17.4901,1.23906,0.000674898,0.000674898,0.000674898
9,45.5613,1.14859,1.3594,1.20691,0.97998,1,0.995,0.77629,1.08684,16.1309,1.18816,0.000743562,0.000743562,0.000743562
10,48.2432,1.1128,1.26603,1.18671,0.98489,0.75,0.945,0.59158,1.06389,9.43936,1.16712,0.000808265,0.000808265,0.000808265
11,50.8308,0.99758,0.89577,1.12082,0.98282,0.75,0.75583,0.56422,0.9301,6.03859,1.0351,0.000869007,0.000869007,0.000869007
12,53.3799,1.05143,0.85473,1.12219,0.9836,0.75,0.88786,0.67043,0.99342,5.07189,1.0321,0.000925788,0.000925788,0.000925788
13,55.9931,1.08143,0.9225,1.15604,0.97848,0.75,0.74535,0.38411,1.15195,4.15564,1.18571,0.000978609,0.000978609,0.000978609
14,58.6442,1.15818,0.9988,1.19137,0.98356,0.75,0.88786,0.56872,1.20225,2.74472,1.21705,0.00102747,0.00102747,0.00102747
15,60.9833,1.12502,0.92441,1.1871,0.99028,1,0.995,0.70864,1.0192,5.4754,1.12102,0.00107237,0.00107237,0.00107237
16,63.3314,1.07103,0.84486,1.13385,0.98773,1,0.995,0.73355,0.97997,3.06405,1.10155,0.00111331,0.00111331,0.00111331
17,65.7284,0.9989,0.91053,1.16018,0.98452,1,0.995,0.71497,1.17697,9.07327,1.31375,0.00113889,0.00113889,0.00113889
18,68.1311,1.10028,0.76196,1.21033,0.76047,1,0.945,0.62852,1.16793,4.72707,1.4162,0.00110589,0.00110589,0.00110589
19,70.4717,1.0002,0.77102,1.11568,0.76452,1,0.895,0.65668,1.02169,6.4555,1.2742,0.00107288,0.00107288,0.00107288
20,72.7397,0.99597,0.68951,1.08529,1,0.99326,0.995,0.81252,0.8007,6.43236,1.06138,0.00103987,0.00103987,0.00103987
21,75.083,0.91018,0.71064,1.07348,0.9989,1,0.995,0.74215,0.90669,6.59502,1.12043,0.00100687,0.00100687,0.00100687
22,77.452,0.89393,0.63989,1.04857,0.98429,1,0.995,0.76471,0.8465,7.59106,1.04451,0.000973861,0.000973861,0.000973861
23,79.7659,0.89197,0.67035,1.03994,0.96354,1,0.995,0.76488,0.9441,5.80835,1.06965,0.000940855,0.000940855,0.000940855
24,82.0629,0.8364,0.65456,1.04745,0.98318,1,0.995,0.74006,0.8749,4.38611,1.05058,0.000907848,0.000907848,0.000907848
25,84.6733,0.87647,0.5633,0.99147,0.98157,1,0.995,0.74022,0.87552,4.3965,1.0468,0.000874842,0.000874842,0.000874842
26,87.4445,0.84381,0.65313,1.05038,0.98232,1,0.995,0.75284,0.88006,3.58365,1.01882,0.000841835,0.000841835,0.000841835
27,89.8493,0.75143,0.51294,0.9867,0.97913,1,0.995,0.76585,0.93932,3.44283,1.06347,0.000808828,0.000808828,0.000808828
28,92.2761,0.79181,0.57038,1.01772,0.97938,1,0.995,0.80897,0.86758,3.32861,1.03859,0.000775822,0.000775822,0.000775822
29,94.5738,0.8029,0.6491,1.02261,0.90475,1,0.995,0.796,0.80749,3.99144,0.99797,0.000742815,0.000742815,0.000742815
30,96.9548,0.7619,0.62286,1.00942,0.84603,1,0.995,0.82082,0.76392,5.07643,0.96822,0.000709809,0.000709809,0.000709809
31,99.2566,0.77333,0.59178,0.98513,1,0.8877,0.995,0.84559,0.73032,4.34758,0.95885,0.000676802,0.000676802,0.000676802
32,101.55,0.8398,0.61572,1.06124,0.9415,1,0.995,0.8955,0.57618,3.81602,0.92125,0.000643795,0.000643795,0.000643795
33,103.976,0.78971,0.58968,1.03203,0.96533,1,0.995,0.8955,0.55024,4.13454,0.88458,0.000610789,0.000610789,0.000610789
34,106.321,0.69681,0.48638,0.96409,0.79065,1,0.845,0.7605,0.51517,3.71763,0.88004,0.000577782,0.000577782,0.000577782
35,108.555,0.6508,0.49725,0.94309,0.79161,1,0.845,0.73603,0.62406,3.53966,0.90204,0.000544776,0.000544776,0.000544776
36,110.814,0.61225,0.46892,0.93787,0.9736,1,0.995,0.92079,0.57999,3.12647,0.89479,0.000511769,0.000511769,0.000511769
37,113.108,0.66223,0.46947,0.93799,0.98632,1,0.995,0.86012,0.57102,3.19579,0.8956,0.000478762,0.000478762,0.000478762
38,115.377,0.64003,0.44233,0.93845,0.98848,1,0.995,0.86218,0.64117,3.85579,0.93782,0.000445756,0.000445756,0.000445756
39,117.614,0.57878,0.43225,0.93116,0.98845,1,0.995,0.86244,0.68023,3.66233,0.97808,0.000412749,0.000412749,0.000412749
40,119.863,0.59833,0.42766,0.91248,0.98809,1,0.995,0.83583,0.72034,3.26008,1.00531,0.000379743,0.000379743,0.000379743
41,137.235,0.58267,0.44807,1.00149,0.98765,1,0.995,0.86137,0.71923,2.96204,0.99985,0.000346736,0.000346736,0.000346736
42,142.745,0.53611,0.39501,0.87524,0.98182,1,0.995,0.88546,0.70893,2.40075,0.98296,0.000313729,0.000313729,0.000313729
43,147.288,0.51031,0.39089,0.88321,0.98616,1,0.995,0.84771,0.72368,2.52907,0.98418,0.000280723,0.000280723,0.000280723
44,150.987,0.50901,0.38854,0.89358,0.98716,1,0.995,0.88585,0.69667,2.90059,0.97589,0.000247716,0.000247716,0.000247716
45,154.336,0.48536,0.35307,0.89031,0.98545,1,0.995,0.86554,0.69546,3.03575,0.9702,0.00021471,0.00021471,0.00021471
46,157.195,0.48105,0.34694,0.90679,0.97706,1,0.995,0.86635,0.71152,3.08063,0.96472,0.000181703,0.000181703,0.000181703
47,159.734,0.43706,0.32011,0.85042,0.97521,1,0.995,0.83972,0.73238,2.94426,0.96758,0.000148696,0.000148696,0.000148696
48,162.9,0.48829,0.33573,0.8765,0.97587,1,0.995,0.84869,0.77723,2.75502,0.97992,0.00011569,0.00011569,0.00011569
49,165.642,0.43867,0.30656,0.87098,0.9779,1,0.995,0.8489,0.78146,2.78016,0.97812,8.26832e-05,8.26832e-05,8.26832e-05
50,168.274,0.43698,0.33472,0.8698,0.98279,1,0.995,0.8489,0.76989,2.84484,0.97375,4.96766e-05,4.96766e-05,4.96766e-05
